airport_id,iata_code,airport_name,city,region_code,latitude,longitude,altitude,timezone_offset,timezone_dst,timezone_region
86,CIH,Changzhi Airport,Changzhi,CN,36.247501,113.125999,0.0,8,U,Asia/Shanghai
87,DAT,Datong Airport,Datong,CN,40.060299,113.482002,3442.0,8,U,Asia/Shanghai
88,HET,Baita International Airport,Hohhot,CN,40.851398,111.823997,3556.0,8,U,Asia/Shanghai
89,BAV,Baotou Airport,Baotou,CN,40.560001,109.997002,3321.0,8,U,Asia/Shanghai
90,SJW,Shijiazhuang Daguocun International Airport,Shijiazhuang,CN,38.280701,114.696999,233.0,8,U,Asia/Shanghai
91,TGO,Tongliao Airport,Tongliao,CN,43.556702,122.199997,2395.0,8,U,Asia/Shanghai
92,HLH,Ulanhot Airport,Ulanhot,CN,46.195333,122.008333,0.0,8,U,Asia/Shanghai
93,XIL,Xilinhot Airport,Xilinhot,CN,43.9156,115.963997,0.0,8,U,Asia/Shanghai
94,BHY,Beihai Airport,Beihai,CN,21.5394,109.293999,0.0,8,U,Asia/Shanghai
95,CGD,Changde Airport,Changde,CN,28.9189,111.639999,128.0,8,U,Asia/Shanghai
96,DYG,Dayong Airport,Dayong,CN,29.1028,110.443001,692.0,8,U,Asia/Shanghai
97,MXZ,Meixian Airport,Meixian,CN,24.35,116.133003,0.0,8,U,Asia/Shanghai
98,ZUH,Zhuhai Jinwan Airport,Zhuhai,CN,22.006399,113.375999,23.0,8,U,Asia/Shanghai
99,LZH,Liuzhou Bailian Airport,Liuzhou,CN,24.2075,109.390999,295.0,8,U,Asia/Shanghai
100,ZHA,Zhanjiang Airport,Zhanjiang,CN,21.214399,110.358002,125.0,8,U,Asia/Shanghai
101,ENH,Enshi Airport,Enshi,CN,30.320299,109.485001,1605.0,8,U,Asia/Shanghai
102,NNY,Nanyang Jiangying Airport,Nanyang,CN,32.980801,112.614998,840.0,8,U,Asia/Shanghai
103,XFN,Xiangyang Liuji Airport,Xiangfan,CN,32.1506,112.291,0.0,8,U,Asia/Shanghai
104,YIH,Yichang Sanxia Airport,Yichang,CN,30.55655,111.479988,673.0,8,U,Asia/Shanghai
105,GOQ,Golmud Airport,Golmud,CN,36.4006,94.786102,9334.0,8,U,Asia/Shanghai
106,IQN,Qingyang Airport,Qingyang,CN,35.799702,107.602997,0.0,8,U,Asia/Shanghai
107,XNN,Xining Caojiabu Airport,Xining,CN,36.5275,102.042999,7119.0,8,U,Asia/Shanghai
108,ENY,Yan'an Ershilipu Airport,Yan'an,CN,36.636902,109.554001,3100.0,8,U,Asia/Shanghai
109,UYN,Yulin Yuyang Airport,Yulin,CN,38.35971,109.590927,0.0,8,U,Asia/Shanghai
110,DIG,Diqing Airport,Shangri-La,CN,27.7936,99.6772,10761.0,8,U,Asia/Shanghai
111,LUM,Mangshi Airport,Luxi,CN,24.4011,98.5317,2890.0,8,U,Asia/Shanghai
112,SYM,Pu'er Simao Airport,Simao,CN,22.793301,100.959,0.0,8,U,Asia/Shanghai
113,ZAT,Zhaotong Airport,Zhaotong,CN,27.3256,103.754997,0.0,8,U,Asia/Shanghai
114,KOW,Ganzhou Airport,Ganzhou,CN,25.853333,114.778889,387.0,8,U,Asia/Shanghai
115,JDZ,Jingdezhen Airport,Jingdezhen,CN,29.3386,117.176003,112.0,8,U,Asia/Shanghai
116,JIU,Jiujiang Lushan Airport,Jiujiang,CN,29.476944,115.801111,0.0,8,U,Asia/Shanghai
117,JUZ,Quzhou Airport,Quzhou,CN,28.965799,118.899002,0.0,8,U,Asia/Shanghai
118,LYG,Lianyungang Airport,Lianyungang,CN,34.571667,118.873611,0.0,8,U,Asia/Shanghai
119,HYN,Huangyan Luqiao Airport,Huangyan,CN,28.562201,121.429001,0.0,8,U,Asia/Shanghai
120,LYI,Shubuling Airport,Linyi,CN,35.046101,118.412003,0.0,8,U,Asia/Shanghai
121,JJN,Quanzhou Jinjiang International Airport,Quanzhou,CN,24.7964,118.589996,0.0,8,U,Asia/Shanghai
122,TXN,Tunxi International Airport,Huangshan,CN,29.733299,118.255997,0.0,8,U,Asia/Shanghai
123,WEF,Weifang Airport,Weifang,CN,36.646702,119.119003,0.0,8,U,Asia/Shanghai
124,WUX,Sunan Shuofang International Airport,Wuxi,CN,31.4944,120.429001,24.0,8,U,Asia/Shanghai
125,WUS,Nanping Wuyishan Airport,Wuyishan,CN,27.7019,118.000999,614.0,8,U,Asia/Shanghai
126,WNZ,Wenzhou Longwan International Airport,Wenzhou,CN,27.912201,120.851997,0.0,8,U,Asia/Shanghai
127,YNZ,Yancheng Airport,Yancheng,CN,33.425833,120.203056,0.0,8,U,Asia/Shanghai
128,YIW,Yiwu Airport,Yiwu,CN,29.3447,120.031998,262.0,8,U,Asia/Shanghai
129,HSN,Zhoushan Airport,Zhoushan,CN,29.9342,122.362,3.0,8,U,Asia/Shanghai
130,BPX,Qamdo Bangda Airport,Bangda,CN,30.5536,97.108299,14219.0,8,U,Asia/Shanghai
131,DAX,Dachuan Airport,Dazhou,CN,31.1302,107.4295,0.0,8,U,Asia/Shanghai
132,GYS,Guangyuan Airport,Guangyuan,CN,32.391102,105.702004,0.0,8,U,Asia/Shanghai
133,LZO,Luzhou Airport,Luzhou,CN,28.8522,105.392998,0.0,8,U,Asia/Shanghai
134,MIG,Mianyang Airport,Mianyang,CN,31.428101,104.740997,0.0,8,U,Asia/Shanghai
135,NAO,Nanchong Airport,Nanchong,CN,30.79545,106.1626,0.0,8,U,Asia/Shanghai
136,LZY,Nyingchi Airport,Nyingchi,CN,29.303301,94.335297,9675.0,8,U,Asia/Shanghai
137,WXN,Wanxian Airport,Wanxian,CN,30.8017,108.433,0.0,8,U,Asia/Shanghai
138,AKU,Aksu Airport,Aksu,CN,41.262501,80.291702,3816.0,8,U,Asia/Shanghai
139,KCA,Kuqa Airport,Kuqa,CN,41.677856,82.872917,3524.0,8,U,Asia/Shanghai
140,KRL,Korla Airport,Korla,CN,41.6978,86.128899,0.0,8,U,Asia/Shanghai
141,KRY,Karamay Airport,Karamay,CN,45.46655,84.9527,0.0,8,U,Asia/Shanghai
142,YIN,Yining Airport,Yining,CN,43.955799,81.330299,0.0,8,U,Asia/Shanghai
143,HEK,Heihe Airport,Heihe,CN,50.171621,127.308884,8530.0,8,U,Asia/Shanghai
144,JMU,Jiamusi Airport,Jiamusi,CN,46.843399,130.464996,262.0,8,U,Asia/Shanghai
145,JNZ,Jinzhou Airport,Jinzhou,CN,41.101398,121.061997,0.0,8,U,Asia/Shanghai
146,NDG,Qiqihar Sanjiazi Airport,Qiqihar,CN,47.239601,123.917999,477.0,8,U,Asia/Shanghai
147,YNJ,Yanji Chaoyangchuan Airport,Yanji,CN,42.882801,129.451004,624.0,8,U,Asia/Shanghai
148,AQG,Anqing Tianzhushan Airport,Anqing,CN,30.582199,117.050003,0.0,8,N,Asia/Shanghai
149,SHP,Shanhaiguan Airport,Qinhuangdao,CN,39.968102,119.731003,30.0,8,N,Asia/Shanghai
